Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,scholarid
1,Carnegie Mellon University,Abhinav Gupta 0001,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~abhinavg,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics",NOSCHOLARPAGE
1,Carnegie Mellon University,Benjamin Moseley,,"AI,System,Theory",http://www.andrew.cmu.edu/user/moseleyb,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Databases,Embedded & real-time systems ,Measurement & perf. analysis ,Algorithms & complexity",qq-SXN8AAAAJ
1,Carnegie Mellon University,Zhiwei Steven Wu,,"AI,Interdisciplinary Areas ,Theory",https://zstevenwu.com,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Economics & computation,Human-computer interaction,Algorithms & complexity",MbF6rTEAAAAJ
1,Carnegie Mellon University,Daniel Fried,,AI,https://dpfried.github.io,,,,," Natural language processing,Computer vision,Machine learning",sJDqACEAAAAJ
1,Carnegie Mellon University,Alan W. Black,,AI,https://www.cs.cmu.edu/~awb,,,,," Natural language processing,Artificial intelligence,Machine learning",Es-YRKMAAAAJ
1,Carnegie Mellon University,Brad A. Myers,,"AI,Interdisciplinary Areas ,System",http://www.cs.cmu.edu/~bam,,,,,"Artificial intelligence, Computer graphics,Human-computer interaction,Operating systems,Programming languages,Software engineering",E1cp_aYAAAAJ
1,Carnegie Mellon University,Tianqi Chen 0001,,"AI,System",https://tqchen.com,,,,,"Machine learning,Computer architecture,Operating systems",7nlvOMQAAAAJ
1,Carnegie Mellon University,Weina Wang 0001,,"AI,Interdisciplinary Areas ,System",https://www.cs.cmu.edu/~weinaw,,,,,"Machine learning,Economics & computation,Computer networks,Measurement & perf. analysis ",mQnBkmoAAAAJ
1,Carnegie Mellon University,Katerina Fragkiadaki,,"AI,Interdisciplinary Areas ",https://www.cs.cmu.edu/~katef,,,,,"Artificial intelligence,Computer vision,Machine learning,Robotics",FWp7728AAAAJ
1,Carnegie Mellon University,Takeo Kanade,,"AI,Interdisciplinary Areas ",http://www.ri.cmu.edu/people/kanade_takeo.html,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics,Visualization",LQ87h3sAAAAJ
1,Carnegie Mellon University,Deepak Pathak,,"AI,Interdisciplinary Areas ",https://people.eecs.berkeley.edu/~pathak,,,,,"Computer vision,Machine learning,Robotics",AEsPCAUAAAAJ
1,Carnegie Mellon University,Martial Hebert,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~./hebert,,,,,"Artificial intelligence,Computer vision,Machine learning, Computer graphics,Robotics",0ytii2EAAAAJ
1,Carnegie Mellon University,Christopher J. Langmead,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~cjl,,,,,"Machine learning,Comp. bio & bioinformatics",NOSCHOLARPAGE
1,Carnegie Mellon University,Umut A. Acar,,"AI,System,Theory",http://www.umut-acar.org,,,,,"Artificial intelligence,Machine learning,Computer architecture,Design automation,High-performance computing,Programming languages,Algorithms & complexity",wJ4NywgAAAAJ
1,Carnegie Mellon University,Mona T. Diab,,AI,https://www.lti.cs.cmu.edu/people/222228496/mona-diab,,,,, Natural language processing,#NAME?
1,Carnegie Mellon University,Carl Kingsford,,"AI,Interdisciplinary Areas ,System,Theory",http://www.cs.cmu.edu/~ckingsf,,,,,"Machine learning,Comp. bio & bioinformatics,Databases,Algorithms & complexity",V_cvqKcAAAAJ
1,Carnegie Mellon University,K. V. Rashmi,,"AI,System",http://www.cs.cmu.edu/~rvinayak,,,,,"Machine learning,Computer networks,Databases,High-performance computing,Operating systems",gUO59T8AAAAJ
1,Carnegie Mellon University,Marijn Heule,,"AI,System",https://www.cs.cmu.edu/~mheule,,,,,"Artificial intelligence,Computer architecture,Computer networks,Design automation",5Bu6aSMAAAAJ
1,Carnegie Mellon University,David G. Andersen,,"AI,System",https://www.cs.cmu.edu/~dga,,,,,"Machine learning,The Web & information retrieval   ,Computer architecture,Computer networks,Computer security,Databases,Measurement & perf. analysis ,Mobile computing,Operating systems",wUArfPgAAAAJ
1,Carnegie Mellon University,Ronald Rosenfeld,,"AI,Interdisciplinary Areas ",http://www.cs.cmu.edu/~roni,,,,,"Artificial intelligence,Machine learning,The Web & information retrieval   ,Comp. bio & bioinformatics,Human-computer interaction",vrbjXlMAAAAJ
1,Carnegie Mellon University,Elaine Shi,,"AI,System,Theory",http://elaineshi.com,,,,,"The Web & information retrieval   ,Computer architecture,Computer networks,Computer security,Databases,Mobile computing,Operating systems,Programming languages,Algorithms & complexity,Cryptography",rejzeocAAAAJ
1,Carnegie Mellon University,Daphne Ippolito,,"AI,System",https://www.daphnei.com,,,,," Natural language processing,Artificial intelligence,Machine learning,Computer security",COEsqLYAAAAJ
1,Carnegie Mellon University,Vyas Sekar,,"AI,Interdisciplinary Areas ,System",https://users.ece.cmu.edu/~vsekar,,,,,"Artificial intelligence,Machine learning,Human-computer interaction,Computer networks,Computer security,Databases,Measurement & perf. analysis ,Mobile computing,Operating systems",5V852JcAAAAJ
1,Carnegie Mellon University,Sean Welleck,,AI,https://wellecks.com,,,,," Natural language processing,Artificial intelligence,Machine learning",Ac6n5pQAAAAJ
1,Carnegie Mellon University,Rayid Ghani,,"AI,System",http://www.rayidghani.com,,,,,"Artificial intelligence,Machine learning,Software engineering",_ufWH4IAAAAJ
